epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4566093683242798,1.5232821702957153,0.001,0.5261250138282776,1.2770551443099976
1,0.5400937795639038,1.2402750253677368,0.001,0.5637500286102295,1.1855038404464722
2,0.577218770980835,1.1458430290222168,0.001,0.578249990940094,1.141677737236023
3,0.6011562347412109,1.0787590742111206,0.001,0.5945000052452087,1.0912086963653564
4,0.6221562623977661,1.023787021636963,0.001,0.6085000038146973,1.0638256072998047
5,0.6377031207084656,0.9856722950935364,0.001,0.6177499890327454,1.039292335510254
6,0.650015652179718,0.9470341801643372,0.001,0.6143749952316284,1.0411626100540161
7,0.6609687209129333,0.9182482361793518,0.001,0.6262500286102295,1.0217483043670654
8,0.6708906292915344,0.8891674876213074,0.001,0.6302499771118164,1.0073542594909668
9,0.6806874871253967,0.8623524308204651,0.001,0.6351249814033508,1.014838457107544
10,0.6876875162124634,0.8421016335487366,0.001,0.640250027179718,0.9918635487556458
11,0.698312520980835,0.8169592022895813,0.001,0.6458749771118164,0.9804022908210754
12,0.7034531235694885,0.8046212196350098,0.001,0.6442499756813049,0.9881177544593811
13,0.709640622138977,0.7844542264938354,0.001,0.6473749876022339,0.9862038493156433
14,0.715218722820282,0.7705774307250977,0.001,0.6527500152587891,0.9797735810279846
15,0.7211406230926514,0.7563934326171875,0.001,0.6535000205039978,0.9682654738426208
16,0.7243124842643738,0.7431340217590332,0.001,0.6596249938011169,0.9542126655578613
17,0.7301874756813049,0.7253672480583191,0.001,0.656374990940094,0.9683166146278381
18,0.736453115940094,0.7176096439361572,0.001,0.6588749885559082,0.9573956727981567
19,0.7398437261581421,0.709600031375885,0.001,0.6612499952316284,0.9595814943313599
20,0.743484377861023,0.6965376734733582,0.001,0.6698750257492065,0.9455571174621582
21,0.7489687204360962,0.6866455674171448,0.001,0.6679999828338623,0.951895534992218
22,0.7525468468666077,0.674026370048523,0.001,0.6654999852180481,0.9575027227401733
23,0.757031261920929,0.6655388474464417,0.001,0.6610000133514404,0.9662485122680664
24,0.7587500214576721,0.6547563076019287,0.001,0.6616250276565552,0.9648518562316895
25,0.7619374990463257,0.6466006636619568,0.001,0.6666250228881836,0.9626508951187134
26,0.7656718492507935,0.638638973236084,0.001,0.6654999852180481,0.9605056047439575
27,0.7685156464576721,0.6314241886138916,0.001,0.674875020980835,0.9431494474411011
28,0.7731249928474426,0.6200087666511536,0.001,0.675125002861023,0.9322381019592285
29,0.7747656106948853,0.6130079627037048,0.001,0.6710000038146973,0.9493682384490967
30,0.7772499918937683,0.6100520491600037,0.001,0.6733750104904175,0.9511204957962036
31,0.7799218893051147,0.603824257850647,0.001,0.6825000047683716,0.9636220932006836
32,0.7820156216621399,0.5972248911857605,0.001,0.6779999732971191,0.9528106451034546
33,0.7842187285423279,0.5884169936180115,0.001,0.6783750057220459,0.9610026478767395
34,0.7845781445503235,0.5851415991783142,0.001,0.6783750057220459,0.9491472840309143
35,0.789718747138977,0.5755524635314941,0.001,0.6757500171661377,0.978544294834137
36,0.8081094026565552,0.5262337923049927,0.0005,0.6902499794960022,0.9299506545066833
37,0.817187488079071,0.5009872317314148,0.0005,0.6922500133514404,0.9301669597625732
38,0.8188593983650208,0.49891647696495056,0.0005,0.6915000081062317,0.934218168258667
39,0.8187812566757202,0.49042901396751404,0.0005,0.6921250224113464,0.9328303933143616
40,0.822515606880188,0.48480644822120667,0.0005,0.6955000162124634,0.9229033589363098
41,0.8260156512260437,0.4766496419906616,0.0005,0.6948750019073486,0.939365804195404
42,0.8280312418937683,0.471150279045105,0.0005,0.6924999952316284,0.9414140582084656
43,0.8294687271118164,0.46752506494522095,0.0005,0.6880000233650208,0.9516932368278503
44,0.8327031135559082,0.4624459445476532,0.0005,0.6926249861717224,0.9517399072647095
45,0.8319531083106995,0.4580563008785248,0.0005,0.6928750276565552,0.9545290470123291
46,0.8327968716621399,0.45212504267692566,0.0005,0.6955000162124634,0.9464733004570007
47,0.8349687457084656,0.45241931080818176,0.0005,0.6917499899864197,0.953702986240387
48,0.8454843759536743,0.4263406991958618,0.00025,0.7016249895095825,0.9293390512466431
49,0.849359393119812,0.4185577630996704,0.00025,0.6993749737739563,0.9395935535430908
