epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8517343997955322,0.4073506295681,1e-04,0.7152500152587891,0.8814618587493896
1,0.8557031154632568,0.39509114623069763,1e-04,0.7161250114440918,0.8829832673072815
2,0.8592968583106995,0.3872688114643097,1e-04,0.7166249752044678,0.8845614194869995
3,0.8616718649864197,0.38619470596313477,1e-04,0.7166249752044678,0.8832530379295349
4,0.8632031083106995,0.3767147958278656,1e-04,0.7160000205039978,0.8801031708717346
5,0.8659531474113464,0.36867183446884155,1e-04,0.71875,0.883266270160675
6,0.8672812581062317,0.36441951990127563,1e-04,0.7181249856948853,0.8875685334205627
7,0.8668593764305115,0.3672139346599579,1e-04,0.7181249856948853,0.8842391967773438
8,0.8673281073570251,0.3658371865749359,1e-04,0.7201250195503235,0.8871116042137146
9,0.8679218888282776,0.3646905720233917,1e-04,0.718375027179718,0.8854073286056519
10,0.8660781383514404,0.3686291575431824,1e-04,0.718874990940094,0.887761116027832
11,0.8684375286102295,0.36190494894981384,1e-04,0.7193750143051147,0.8866513967514038
12,0.8679843544960022,0.362931489944458,1e-04,0.7182499766349792,0.8928353190422058
13,0.8694218993186951,0.3562560975551605,1e-04,0.7214999794960022,0.8877406120300293
14,0.8709999918937683,0.3556440472602844,1e-04,0.7174999713897705,0.8924363851547241
15,0.8703749775886536,0.3541596531867981,5e-05,0.7202500104904175,0.8939640522003174
16,0.8726406097412109,0.352641761302948,5e-05,0.7211250066757202,0.8931919932365417
17,0.8725781440734863,0.3509772717952728,5e-05,0.7197499871253967,0.8926717638969421
18,0.875124990940094,0.34645962715148926,5e-05,0.7214999794960022,0.8896369338035583
19,0.8734531402587891,0.3471958637237549,5e-05,0.7204999923706055,0.8887148499488831
20,0.8753593564033508,0.34311267733573914,5e-05,0.7226250171661377,0.8940249085426331
21,0.8741093873977661,0.34625089168548584,5e-05,0.7216249704360962,0.8931027054786682
22,0.8744218945503235,0.3453603982925415,5e-05,0.7222499847412109,0.890834629535675
23,0.8744999766349792,0.3413916826248169,5e-05,0.7216249704360962,0.8958331346511841
24,0.876046895980835,0.34060347080230713,5e-05,0.7229999899864197,0.896233320236206
