,Pred_AK,Pred_BCC,Pred_BKL,Pred_DF,Pred_MEL,Pred_NV,Pred_SCC,Pred_VASC
True_AK,40,158,317,233,15,209,26,2
True_BCC,7,167,96,260,54,332,76,8
True_BKL,5,23,308,206,35,414,3,6
True_DF,2,10,62,614,4,293,2,13
True_MEL,4,17,170,102,239,452,16,0
True_NV,2,23,50,86,25,806,0,8
True_SCC,25,100,355,299,41,147,25,8
True_VASC,2,13,9,209,17,387,2,361
