,Pred_AK,Pred_BCC,Pred_BKL,Pred_DF,Pred_MEL,Pred_NV,Pred_SCC,Pred_VASC
True_AK,605,12,73,158,62,6,83,1
True_BCC,320,42,50,240,89,23,222,14
True_BKL,234,4,273,205,135,82,65,2
True_DF,108,5,71,669,40,46,59,2
True_MEL,99,2,134,78,440,194,51,2
True_NV,54,8,97,158,185,449,25,24
True_SCC,315,14,163,249,86,44,120,9
True_VASC,35,0,18,245,66,62,21,553
