,Pred_AK,Pred_BCC,Pred_BKL,Pred_DF,Pred_MEL,Pred_NV,Pred_SCC,Pred_VASC
True_AK,387,4,375,22,26,17,169,0
True_BCC,137,9,263,65,19,33,473,1
True_BKL,91,0,588,110,67,117,27,0
True_DF,36,0,338,482,12,74,57,1
True_MEL,91,0,290,19,300,260,40,0
True_NV,33,18,222,32,87,526,82,0
True_SCC,141,1,530,65,69,42,151,1
True_VASC,16,0,268,263,23,183,34,213
