,Pred_AK,Pred_BCC,Pred_BKL,Pred_DF,Pred_MEL,Pred_NV,Pred_SCC,Pred_VASC
True_AK,493,118,160,76,5,22,126,0
True_BCC,264,187,74,131,10,29,289,16
True_BKL,150,61,296,235,10,131,110,7
True_DF,81,48,88,582,1,44,156,0
True_MEL,142,36,233,79,135,309,63,3
True_NV,48,74,149,123,22,514,60,10
True_SCC,265,118,237,149,11,69,142,9
True_VASC,32,83,18,294,3,46,35,489
