,Pred_AK,Pred_BCC,Pred_BKL,Pred_DF,Pred_MEL,Pred_NV,Pred_SCC,Pred_VASC
True_AK,468,76,91,32,57,17,257,2
True_BCC,81,178,46,61,28,26,567,13
True_BKL,137,50,308,111,135,127,114,18
True_DF,15,6,12,854,37,31,43,2
True_MEL,44,24,76,34,549,194,72,7
True_NV,21,213,54,26,127,507,45,7
True_SCC,83,42,340,49,27,15,436,8
True_VASC,2,4,2,196,19,26,2,749
