,Pred_AK,Pred_BCC,Pred_BKL,Pred_DF,Pred_MEL,Pred_NV,Pred_SCC,Pred_VASC
True_AK,24,288,5,330,0,23,330,0
True_BCC,3,264,1,284,0,5,443,0
True_BKL,3,271,33,470,6,63,154,0
True_DF,0,21,0,936,6,1,36,0
True_MEL,3,181,13,305,89,176,233,0
True_NV,0,343,5,284,2,274,91,1
True_SCC,3,312,61,343,1,12,268,0
True_VASC,0,88,3,716,2,10,17,164
