,Pred_AK,Pred_BCC,Pred_BKL,Pred_DF,Pred_MEL,Pred_NV,Pred_SCC,Pred_VASC
True_AK,20,0,239,734,0,5,2,0
True_BCC,0,4,116,712,0,66,102,0
True_BKL,0,0,330,631,0,39,0,0
True_DF,0,0,124,849,0,25,2,0
True_MEL,2,0,278,596,0,121,3,0
True_NV,1,71,174,540,0,214,0,0
True_SCC,10,0,345,641,0,2,2,0
True_VASC,2,1,120,711,0,165,1,0
