,Pred_AK,Pred_BCC,Pred_BKL,Pred_DF,Pred_MEL,Pred_NV,Pred_SCC,Pred_VASC
True_AK,344,111,214,13,43,11,261,3
True_BCC,46,192,90,28,25,29,563,27
True_BKL,99,58,406,70,96,131,108,32
True_DF,10,19,61,688,31,49,135,7
True_MEL,34,27,128,11,480,226,82,12
True_NV,16,189,89,13,103,518,54,18
True_SCC,72,43,389,17,36,26,407,10
True_VASC,2,3,1,163,6,38,4,783
