,Pred_AK,Pred_BCC,Pred_BKL,Pred_DF,Pred_MEL,Pred_NV,Pred_SCC,Pred_VASC
True_AK,202,59,482,20,35,35,164,3
True_BCC,33,101,249,44,38,58,463,14
True_BKL,36,11,610,92,67,130,48,6
True_DF,2,10,216,639,13,64,53,3
True_MEL,14,5,249,19,360,286,62,5
True_NV,9,88,174,17,68,596,39,9
True_SCC,45,22,523,52,41,73,235,9
True_VASC,0,4,50,206,8,62,7,663
