,Pred_AK,Pred_BCC,Pred_BKL,Pred_DF,Pred_MEL,Pred_NV,Pred_SCC,Pred_VASC
True_AK,835,50,38,6,27,4,39,1
True_BCC,126,465,97,46,59,46,152,9
True_BKL,80,88,479,23,151,121,57,1
True_DF,2,9,9,959,1,6,14,0
True_MEL,54,72,98,20,537,174,40,5
True_NV,15,67,86,17,130,647,22,16
True_SCC,43,68,65,7,16,16,783,2
True_VASC,1,4,0,2,1,1,0,991
